target_species,target_species_c,cospecies_n,cospecies_native_n,cospecies_mean_c,cospecies_native_mean_c,cospecies_std_dev_c,cospecies_native_std_dev_c,percent_native,percent_nonnative,percent_native_low_c,percent_native_med_c,percent_native_high_c,discrepancy_c
Aesculus parviflora,0,48,23,1.7916666666666667,3.739130434782609,2.872898553602403,3.165400898124881,0.4791666666666667,0.5208333333333333,0.75,0.16666666666666663,0.08333333333333337,-3.739130434782609
Agalinis aspera,10,9,4,3.4444444444444446,7.75,4.927248499698161,4.5,0.4444444444444444,0.5555555555555556,0.6666666666666666,0,0.33333333333333337,2.25
Agalinis purpurea,6,241,207,3.9419087136929463,4.5893719806763285,3.0463001616658563,2.7974473613634725,0.8589211618257261,0.1410788381742739,0.4066390041493776,0.43983402489626555,0.15352697095435686,1.4106280193236715
Agalinis tenuifolia,3,1820,1420,3.792307692307692,4.8605633802816905,3.0444293261243516,2.5855880109629528,0.7802197802197802,0.21978021978021978,0.4593406593406593,0.3934065934065934,0.14725274725274728,-1.8605633802816905
Agalinis tenuifolia,5,1820,1420,3.792307692307692,4.8605633802816905,3.0444293261243516,2.5855880109629528,0.7802197802197802,0.21978021978021978,0.4593406593406593,0.3934065934065934,0.14725274725274728,0.13943661971830945
Agastache foeniculum,0,1202,788,2.846089850249584,4.341370558375634,3.3410781467356685,3.245791199076307,0.6555740432612313,0.34442595673876875,0.6164725457570716,0.218801996672213,0.16472545757071544,-4.341370558375634
Agastache nepetoides,5,867,692,4.166089965397924,5.219653179190751,3.330189961393172,2.8968301246367387,0.798154555940023,0.20184544405997695,0.41522491349480967,0.3656286043829297,0.21914648212226062,-0.21965317919075122
Agastache scrophulariaefolia,5,68,68,5.617647058823529,5.617647058823529,2.43132180599763,2.43132180599763,1,0,0.19117647058823528,0.5294117647058824,0.27941176470588236,-0.617647058823529
Ageratina altissima,3,4012,2749,2.7098703888334996,3.954892688250273,2.8571180747380414,2.643715371509239,0.6851944167497508,0.3148055832502492,0.6074277168494516,0.30982053838484547,0.0827517447657029,-0.9548926882502728
Agrimonia gryposepala,2,5492,4288,3.4530225782957027,4.422574626865671,2.877226749655131,2.512868433105727,0.7807720320466133,0.21922796795338673,0.4857975236707939,0.4100509832483613,0.10415149308084481,-2.4225746268656714
Agrimonia gryposepala,4,5492,4288,3.4530225782957027,4.422574626865671,2.877226749655131,2.512868433105727,0.7807720320466133,0.21922796795338673,0.4857975236707939,0.4100509832483613,0.10415149308084481,-0.4225746268656714
Agrimonia parviflora,4,2159,1720,2.88837424733673,3.625581395348837,2.593756154440315,2.402354189880947,0.7966651227420102,0.20333487725798982,0.5618341824918944,0.3756368689207966,0.06252894858730895,0.37441860465116283
Agrimonia pubescens,6,242,212,4.5041322314049586,5.1415094339622645,2.9760425613288266,2.6121795633150158,0.8760330578512396,0.12396694214876036,0.33884297520661155,0.4669421487603306,0.19421487603305787,0.8584905660377355
Agrimonia rostellata,8,63,35,1.8253968253968254,3.2857142857142856,2.232745182430628,2.0374642338460034,0.5555555555555556,0.4444444444444444,0.7619047619047619,0.2063492063492064,0.031746031746031744,4.714285714285714
Agrimonia striata,3,176,98,1.5340909090909092,2.7551020408163267,2.097339068637012,2.130104418764759,0.5568181818181818,0.44318181818181823,0.7784090909090909,0.2102272727272727,0.011363636363636354,0.2448979591836733
Agropyron cristatum,0,7,5,2.7142857142857144,3.8,2.984084768360628,2.8635642126552705,0.7142857142857143,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.1428571428571429,-3.8
Agrostis gigantea,0,4945,3641,2.6695652173913045,3.6256522933260094,2.6937115717536715,2.527473441768889,0.736299292214358,0.26370070778564203,0.607077856420627,0.3253791708796764,0.06754297269969667,-3.6256522933260094
Agrostis perennans,5,865,627,2.9838150289017342,4.116427432216906,2.384307641372869,1.7822791155607034,0.7248554913294798,0.2751445086705202,0.5398843930635838,0.4416184971098266,0.018497109826589586,0.8835725677830943
Agrostis stolonifera,0,2364,1766,3.1311336717428087,4.191392978482447,2.459777880293413,1.9115437561299493,0.7470389170896785,0.2529610829103215,0.5169204737732657,0.4543147208121827,0.02876480541455162,-4.191392978482447
Agrostis stolonifera,2,2364,1766,3.1311336717428087,4.191392978482447,2.459777880293413,1.9115437561299493,0.7470389170896785,0.2529610829103215,0.5169204737732657,0.4543147208121827,0.02876480541455162,-2.1913929784824466
Ailanthus altissima,0,1014,693,2.462524654832347,3.6031746031746033,2.646698093196267,2.4776086899721967,0.6834319526627219,0.31656804733727806,0.6380670611439843,0.3067061143984221,0.05522682445759364,-3.6031746031746033
Aira caryophyllea,0,30,19,2.433333333333333,3.8421052631578947,3.147887450703861,3.2017904347886503,0.6333333333333333,0.3666666666666667,0.6,0.30000000000000004,0.09999999999999998,-3.8421052631578947
Ajuga reptans,0,1381,1024,3.287472845763939,4.43359375,2.5764925715364293,1.966852479334513,0.7414916727009413,0.2585083272990587,0.4952932657494569,0.4583635047067342,0.04634322954380887,-4.43359375
Akebia quinata,0,168,109,2.1785714285714284,3.3577981651376145,2.4962760973395643,2.374723905120795,0.6488095238095238,0.35119047619047616,0.6726190476190477,0.29761904761904756,0.029761904761904767,-3.3577981651376145
Alisma subcordatum,3,12236,9060,2.8452108532200064,3.8426048565121413,2.7381102984013594,2.50852513821726,0.7404380516508663,0.2595619483491337,0.5769859431186662,0.3510951291271657,0.07191892775416808,-0.8426048565121413
Alisma subcordatum,5,12236,9060,2.8452108532200064,3.8426048565121413,2.7381102984013594,2.50852513821726,0.7404380516508663,0.2595619483491337,0.5769859431186662,0.3510951291271657,0.07191892775416808,1.1573951434878587
Alisma triviale,3,450,361,4.286666666666667,5.3434903047091415,3.3887078300199187,2.942696798958429,0.8022222222222222,0.19777777777777783,0.4111111111111111,0.35111111111111115,0.23777777777777775,-2.3434903047091415
Alliaria petiolata,0,6405,4472,2.764871194379391,3.959973166368515,2.791413398254087,2.5351845365741026,0.6982045277127245,0.30179547228727555,0.5915690866510539,0.33473848555815766,0.07369242779078844,-3.959973166368515
Allium aflatunense,0,129,73,3.5271317829457365,6.232876712328767,3.8508877210729056,3.0437574911849654,0.5658914728682171,0.43410852713178294,0.5271317829457365,0.2325581395348837,0.24031007751937983,-6.232876712328767
Allium canadense,3,6190,4870,3.6290791599353796,4.612731006160164,3.0581261192632896,2.710954276725185,0.7867528271405493,0.21324717285945072,0.46946688206785137,0.38869143780290794,0.1418416801292407,-1.612731006160164
Allium canadense,5,6190,4870,3.6290791599353796,4.612731006160164,3.0581261192632896,2.710954276725185,0.7867528271405493,0.21324717285945072,0.46946688206785137,0.38869143780290794,0.1418416801292407,0.38726899383983593
Allium cepa,0,51,20,2.4901960784313726,6.35,4.0761381184626595,4.233637231805096,0.39215686274509803,0.607843137254902,0.7058823529411765,0.07843137254901955,0.21568627450980393,-6.35
Allium cernuum,7,3562,2755,3.571027512633352,4.617059891107078,3.232996912555269,2.9468172819775647,0.7734418865805727,0.22655811341942733,0.498034811903425,0.3259404828747895,0.17602470522178548,2.382940108892922
Allium sativum,0,30,17,1.0333333333333334,1.8235294117647058,1.5862193902556445,1.7405205441780578,0.5666666666666667,0.43333333333333335,0.8333333333333334,0.16666666666666663,0,-1.8235294117647058
Allium schoenoprasum,0,64,36,1.6875,3,2.7710235344672607,3.1259284335103663,0.5625,0.4375,0.8125,0.109375,0.078125,-3
Allium tricoccum,6,1286,1060,3.95800933125972,4.80188679245283,2.9124357682518967,2.4972877121578736,0.8242612752721618,0.17573872472783825,0.40902021772939345,0.4587869362363919,0.13219284603421466,1.1981132075471699
Allium tricoccum,9,1286,1060,3.95800933125972,4.80188679245283,2.9124357682518967,2.4972877121578736,0.8242612752721618,0.17573872472783825,0.40902021772939345,0.4587869362363919,0.13219284603421466,4.19811320754717
Allium tuberosum,0,596,483,4.2130872483221475,5.198757763975156,3.38060158722299,2.9954735058396893,0.8104026845637584,0.1895973154362416,0.4261744966442953,0.33053691275167785,0.24328859060402686,-5.198757763975156
Allium vineale,0,1206,892,3.181592039800995,4.301569506726457,2.4628747739384877,1.8385685285625422,0.7396351575456053,0.26036484245439473,0.5033167495854063,0.46766169154228854,0.029021558872305175,-4.301569506726457
Alnus glutinosa,0,884,613,2.6549773755656108,3.828711256117455,2.8439536903611913,2.6773727128688907,0.6934389140271493,0.3065610859728507,0.6165158371040724,0.29072398190045246,0.09276018099547512,-3.828711256117455
Alnus incana,6,672,506,3.267857142857143,4.339920948616601,2.761181229086473,2.3384574745064617,0.7529761904761905,0.24702380952380953,0.5208333333333334,0.40476190476190477,0.07440476190476186,1.6600790513833994
Alnus incana,8,672,506,3.267857142857143,4.339920948616601,2.761181229086473,2.3384574745064617,0.7529761904761905,0.24702380952380953,0.5208333333333334,0.40476190476190477,0.07440476190476186,3.6600790513833994
Alnus serrulata,4,263,197,3.247148288973384,4.33502538071066,2.475016663693406,1.8569894509073293,0.7490494296577946,0.25095057034220536,0.5057034220532319,0.45627376425855515,0.03802281368821292,-0.33502538071066024
Alopecurus aequalis,6,95,40,2.463157894736842,5.85,4.09932668658094,4.4924437984299015,0.42105263157894735,0.5789473684210527,0.7263157894736842,0.05263157894736836,0.2210526315789474,0.15000000000000036
Alopecurus carolinianus,0,450,361,4.293333333333333,5.351800554016621,3.3832023153306685,2.931780521590501,0.8022222222222222,0.19777777777777783,0.4111111111111111,0.35111111111111115,0.23777777777777775,-5.351800554016621
Amaranthus albus,0,478,376,4.169456066945607,5.300531914893617,3.4237039227241515,2.9830811336008596,0.7866108786610879,0.21338912133891208,0.4309623430962343,0.3389121338912134,0.2301255230125523,-5.300531914893617
Amaranthus blitum,0,15,8,2,3.75,3.251373336211726,3.693623849670827,0.5333333333333333,0.4666666666666667,0.8,0.06666666666666665,0.1333333333333333,-3.75
Amaranthus hybridus,0,393,223,1.6157760814249365,2.8475336322869955,2.446875448390589,2.6549428180484447,0.5674300254452926,0.43256997455470736,0.7480916030534351,0.20610687022900764,0.04580152671755722,-2.8475336322869955
Amaranthus palmeri,0,504,353,2.609126984126984,3.725212464589235,2.8543148655388766,2.7336006937784476,0.7003968253968254,0.29960317460317465,0.625,0.2837301587301587,0.09126984126984128,-3.725212464589235
Amaranthus retroflexus,0,1378,932,2.253265602322206,3.3315450643776825,2.581230826862742,2.5016756092738652,0.6763425253991292,0.3236574746008708,0.6618287373004355,0.28519593613933236,0.05297532656023218,-3.3315450643776825
Amaranthus spinosus,0,383,241,1.8093994778067886,2.87551867219917,2.391677411905194,2.4548129258034233,0.6292428198433421,0.37075718015665793,0.762402088772846,0.2010443864229765,0.036553524804177506,-2.87551867219917
Amaranthus tuberculatus,1,171,120,1.8538011695906433,2.6416666666666666,2.2272972664588564,2.2334200827668855,0.7017543859649122,0.29824561403508776,0.7309941520467836,0.2514619883040935,0.01754385964912286,-1.6416666666666666
Amblystegium serpens,5,478,355,3.1673640167364017,4.264788732394366,2.4273990180850333,1.8016861681381287,0.7426778242677824,0.2573221757322176,0.5167364016736402,0.4560669456066945,0.027196652719665315,0.7352112676056342
Ambrosia artemisiifolia,0,21294,14652,2.4475439090823707,3.557057057057057,2.6797376851590684,2.5474716192928106,0.6880811496196112,0.3119188503803888,0.643279797125951,0.29388560157790933,0.06283460129613971,-3.557057057057057
Ambrosia artemisiifolia,1,21294,14652,2.4475439090823707,3.557057057057057,2.6797376851590684,2.5474716192928106,0.6880811496196112,0.3119188503803888,0.643279797125951,0.29388560157790933,0.06283460129613971,-2.557057057057057
Ambrosia psilostachya,0,44,34,4.25,5.5,3.977407125485203,3.678356022777435,0.7727272727272727,0.2272727272727273,0.4772727272727273,0.15909090909090906,0.36363636363636365,-5.5
Ambrosia trifida,0,6854,4721,2.4002042602859643,3.4846430840923532,2.728463276438484,2.6512363850486964,0.68879486431281,0.31120513568719,0.6562591187627662,0.2726874817624745,0.0710533994747593,-3.4846430840923532
Amelanchier alnifolia,0,276,163,3.0869565217391304,5.226993865030675,3.6788896761131418,3.4234135976326256,0.5905797101449275,0.4094202898550725,0.5797101449275363,0.21739130434782605,0.2028985507246377,-5.226993865030675
Amelanchier arborea,6,2388,1834,3.4656616415410384,4.512540894220283,2.8819959056041142,2.4677087003765887,0.7680067001675042,0.23199329983249584,0.4807370184254606,0.4212730318257956,0.09798994974874375,1.4874591057797169
Amelanchier arborea,8,2388,1834,3.4656616415410384,4.512540894220283,2.8819959056041142,2.4677087003765887,0.7680067001675042,0.23199329983249584,0.4807370184254606,0.4212730318257956,0.09798994974874375,3.487459105779717
Amelanchier canadensis,0,239,142,2.225941422594142,3.7464788732394365,3.247364259705051,3.473173012699805,0.5941422594142259,0.40585774058577406,0.7196652719665272,0.15899581589958156,0.12133891213389125,-3.7464788732394365
Amelanchier laevis,7,173,128,2.913294797687861,3.9375,2.999708728074566,2.849920568032465,0.7398843930635838,0.2601156069364162,0.6127167630057804,0.2601156069364161,0.12716763005780352,3.0625
Amelanchier sanguinea,10,16,11,3.375,4.909090909090909,4.064070209367287,4.060900034587049,0.6875,0.3125,0.5625,0.1875,0.25,5.090909090909091
Amelanchier spicata,7,168,108,2.136904761904762,3.324074074074074,2.473634856653068,2.359426128958725,0.6428571428571429,0.3571428571428571,0.6785714285714286,0.29166666666666663,0.029761904761904767,3.675925925925926
Amelanchier x grandiflora,0,129,74,3.5271317829457365,6.148648648648648,3.8508877210729056,3.1084614193213187,0.5736434108527132,0.4263565891472868,0.5271317829457365,0.2325581395348837,0.24031007751937983,-6.148648648648648
